"","gene","family","variable","value"
"398","AaegOr12","OR","ma_an",23.3839014856076
"399","AaegOr121","OR","ma_an",4.13483371919801
"400","AaegOr122","OR","ma_an",2.32641073791049
"401","AaegOr25","OR","ma_an",1.35628162726432
"402","AaegOr66","OR","ma_an",13.5365454955256
"403","AaegOr86","OR","ma_an",0.569680847120587
"404","AaegIr75d","IR","ma_an",10.1366463855513
"405","AaegOr61","OR","ma_an",0
"406","AaegOr60","OR","ma_an",0
"407","AaegIr76b","IR","fe_rs",14.3270676450448
"408","AaegOr39","OR","fe_rs",0.304752353606836
"409","AaegOr124","OR","fe_rs",0
"410","AaegOr17","OR","fe_rs",0.0844754657363875
"411","AaegOr36","OR","fe_rs",0.00797557199429238
"412","AaegOr35","OR","fe_rs",0
"413","AaegOr1","OR","fe_rs",0.0262210075417043
"414","AaegIr92a","IR","fe_rs",2.66600720608171
"415","AaegOr107","OR","fe_rs",0.00452531218016311
"416","AaegOr79","OR","fe_rs",0.14249843466761
"417","AaegOr76","OR","fe_rs",0
"418","AaegOr75","OR","fe_rs",0
"419","AaegOr77","OR","fe_rs",0
"420","AaegOr78","OR","fe_rs",0.0428556205184106
"421","AaegOr34","OR","fe_rs",0.287832682102971
"422","AaegOr37","OR","fe_rs",0.00945052439530244
"423","AaegIr8a","IR","fe_rs",0.156997888578388
"424","AaegOr69","OR","fe_rs",0.0178232061360311
"425","AaegOr14","OR","fe_rs",0.911984703077886
"426","AaegOr15","OR","fe_rs",3.38778570812176
"427","AaegIr100c.1","IR","fe_rs",0.00705844044267032
"428","AaegIr25a","IR","fe_rs",128.874707261214
"429","AaegOr87","OR","fe_rs",0.0846349938031316
"430","AaegOr23","OR","fe_rs",0.113626162274431
"431","AaegOr88","OR","fe_rs",0.0224751493214608
"432","AaegOr126","OR","fe_rs",0
"433","AaegOr63","OR","fe_rs",0.0598988863311491
"434","AaegOr89","OR","fe_rs",0.0172348663776355
"435","AaegOr90","OR","fe_rs",0.159335773062918
"436","AaegOr42","OR","fe_rs",0
"437","AaegOr45","OR","fe_rs",0.0159507922592744
"438","AaegOr113","OR","fe_rs",0.0429738491294088
"439","AaegOr8","OR","fe_rs",42.524756985693
"440","Ir_RU1","IR","fe_rs",0.125483114614511
"441","AaegOr7","OR","fe_rs",252.034130342729
"442","AaegOr40","OR","fe_rs",0.0127955166980046
"443","AaegOr20","OR","fe_rs",0.0933917136864639
"444","AaegOr24","OR","fe_rs",0.0105962755221536
"445","AaegOr21","OR","fe_rs",0
"446","AaegOr72","OR","fe_rs",0.0161211521791353
"447","AaegOr100","OR","fe_rs",0.0140698314578332
"448","AaegOr114","OR","fe_rs",0.00428466408749136
"449","AaegOr115","OR","fe_rs",0.00674408214227175
"450","AaegOr41","OR","fe_rs",0
"451","AaegOr119","OR","fe_rs",0
"452","AaegOr102","OR","fe_rs",0.0425223432421251
"453","AaegOr130","OR","fe_rs",0.0592157143118882
"454","AaegOr117","OR","fe_rs",0.0132741803613871
"455","AaegIr93a","IR","fe_rs",2.44964806623747
"456","AaegOr62","OR","fe_rs",1.01474282145693
"457","AaegIr7j","IR","fe_rs",1.37347542639523
"458","AaegIr7v.2","IR","fe_rs",5.14225730521867
"459","AaegIr7l","IR","fe_rs",1.00312856163528
"460","AaegIr7v.1","IR","fe_rs",5.94224781192719
"461","AaegOr97","OR","fe_rs",0.00823736937587196
"462","AaegIr106.1","IR","fe_rs",0.164722207839095
"463","AaegIr7q.2","IR","fe_rs",6.0591715943836
"464","AaegIr7z.1","IR","fe_rs",5.55588706847399
"465","AaegIr41a.2","IR","fe_rs",3.39730956475992
"466","AaegIr41p.1","IR","fe_rs",4.03414554586666
"467","AaegIr41p.2","IR","fe_rs",0
"468","Ir_RU2","IR","fe_rs",1.00248146214955
"469","AaegIr41o","IR","fe_rs",7.91492381148329
"470","AaegIr7h.1","IR","fe_rs",0.00573911322125304
"471","AaegIr31a","IR","fe_rs",0.0137700339642405
"472","AaegIr75k.3","IR","fe_rs",28.4919943475125
"473","AaegIr75k.1","IR","fe_rs",0.845213209773891
"474","AaegIr119","IR","fe_rs",0
"475","AaegOr68","OR","fe_rs",0
"476","AaegOr73","OR","fe_rs",0.0216505779164202
"477","AaegIr75i","IR","fe_rs",0.0224626097340321
"478","AaegIr120","IR","fe_rs",0.370926122180166
"479","AaegOr83","OR","fe_rs",0.505700795044126
"480","AaegOr82","OR","fe_rs",0.785099214762981
"481","AaegOr3","OR","fe_rs",0.0684654928050414
"482","AaegIr101","IR","fe_rs",0.00535471778743078
"483","AaegIr7r.1","IR","fe_rs",7.36242222753244
"484","AaegIr7z.2","IR","fe_rs",2.47736331519045
"485","AaegOr131","OR","fe_rs",0
"486","AaegOr71","OR","fe_rs",3.8060208044581
"487","AaegOr22","OR","fe_rs",0.281145332536856
"488","AaegOr44","OR","fe_rs",0
"489","AaegOr129","OR","fe_rs",0
"490","AaegOr18","OR","fe_rs",0
"491","AaegOr108","OR","fe_rs",0
"492","AaegOr106","OR","fe_rs",0.0409871196361346
